weather_date,date,month_day,weekday,weather,highest_temp,lowest_temp,temp_difference,wind_direction,power,direction,air_quality,air_measure,air_degree
2016-01-01 周五,2016-01-01,01-01,周五,晴~多云,13,8,5,无持续风向微风,无持续风向,微风,173 中度,173,中度
2016-01-02 周六,2016-01-02,01-02,周六,多云~阵雨,15,10,5,无持续风向微风,无持续风向,微风,266 重度,266,重度
2016-01-03 周日,2016-01-03,01-03,周日,阴~阵雨,16,11,5,无持续风向微风,无持续风向,微风,142 轻度,142,轻度
2016-01-04 周一,2016-01-04,01-04,周一,多云~中雨,19,11,8,无持续风向微风,无持续风向,微风,84 良,84,良
2016-01-05 周二,2016-01-05,01-05,周二,小雨,11,8,3,北风3-4级,北风,3-4级,48 优,48,优
2016-01-06 周三,2016-01-06,01-06,周三,多云,12,6,6,无持续风向微风,无持续风向,微风,87 良,87,良
2016-01-07 周四,2016-01-07,01-07,周四,阵雨~阴,11,6,5,北风3-4级,北风,3-4级,112 轻度,112,轻度
2016-01-08 周五,2016-01-08,01-08,周五,多云,11,6,5,无持续风向微风,无持续风向,微风,92 良,92,良
2016-01-09 周六,2016-01-09,01-09,周六,小雨~中雨,9,6,3,无持续风向微风,无持续风向,微风,64 良,64,良
2016-01-10 周日,2016-01-10,01-10,周日,小到中雨~小雨,9,7,2,无持续风向微风,无持续风向,微风,135 轻度,135,轻度
2016-01-11 周一,2016-01-11,01-11,周一,阴,8,6,2,北风3-4级,北风,3-4级,41 优,41,优
2016-01-12 周二,2016-01-12,01-12,周二,阴~多云,8,5,3,北风3-4级,北风,3-4级,55 良,55,良
2016-01-13 周三,2016-01-13,01-13,周三,阴~多云,8,3,5,无持续风向微风,无持续风向,微风,68 良,68,良
2016-01-14 周四,2016-01-14,01-14,周四,小雨,9,4,5,无持续风向微风,无持续风向,微风,109 轻度,109,轻度
2016-01-15 周五,2016-01-15,01-15,周五,多云~阴,9,5,4,无持续风向微风,无持续风向,微风,98 良,98,良
2016-01-16 周六,2016-01-16,01-16,周六,小雨~小到中雨,12,4,8,无持续风向微风,无持续风向,微风,38 优,38,优
2016-01-17 周日,2016-01-17,01-17,周日,阴~多云,10,4,6,北风3-4级,北风,3-4级,92 良,92,良
2016-01-18 周一,2016-01-18,01-18,周一,晴,11,3,8,无持续风向微风,无持续风向,微风,230 重度,230,重度
2016-01-19 周二,2016-01-19,01-19,周二,多云,10,3,7,无持续风向微风,无持续风向,微风,125 轻度,125,轻度
2016-01-20 周三,2016-01-20,01-20,周三,小雨~小到中雨,7,3,4,北风3-4级,北风,3-4级,108 轻度,108,轻度
2016-01-21 周四,2016-01-21,01-21,周四,雨夹雪~大雪,2,0,2,北风3-4级,北风,3-4级,39 优,39,优
2016-01-22 周五,2016-01-22,01-22,周五,大雪~小雪,1,-2,3,北风4-5级,北风,4-5级,38 优,38,优
2016-01-23 周六,2016-01-23,01-23,周六,多云,1,-4,5,北风4-5级,北风,4-5级,56 良,56,良
2016-01-24 周日,2016-01-24,01-24,周日,晴,0,-4,4,北风3-4级,北风,3-4级,69 良,69,良
2016-01-25 周一,2016-01-25,01-25,周一,晴,4,-4,8,无持续风向微风,无持续风向,微风,101 轻度,101,轻度
2016-01-26 周二,2016-01-26,01-26,周二,多云~小雨,6,3,3,无持续风向微风,无持续风向,微风,79 良,79,良
2016-01-27 周三,2016-01-27,01-27,周三,小雨,6,4,2,无持续风向微风,无持续风向,微风,59 良,59,良
2016-01-28 周四,2016-01-28,01-28,周四,中雨,8,5,3,无持续风向微风,无持续风向,微风,59 良,59,良
2016-01-29 周五,2016-01-29,01-29,周五,阴,7,5,2,无持续风向微风,无持续风向,微风,53 良,53,良
2016-01-30 周六,2016-01-30,01-30,周六,阴,7,5,2,无持续风向微风,无持续风向,微风,49 优,49,优
