weather_date,highest_temp,lowset_temp,weather,wind_direction,air_quality
2016-01-01 周五,13°,8°,晴~多云,无持续风向微风,173 中度
2016-01-02 周六,15°,10°,多云~阵雨,无持续风向微风,266 重度
2016-01-03 周日,16°,11°,阴~阵雨,无持续风向微风,142 轻度
2016-01-04 周一,19°,11°,多云~中雨,无持续风向微风,84 良
2016-01-05 周二,11°,8°,小雨,北风3-4级,48 优
2016-01-06 周三,12°,6°,多云,无持续风向微风,87 良
2016-01-07 周四,11°,6°,阵雨~阴,北风3-4级,112 轻度
2016-01-08 周五,11°,6°,多云,无持续风向微风,92 良
2016-01-09 周六,9°,6°,小雨~中雨,无持续风向微风,64 良
2016-01-10 周日,9°,7°,小到中雨~小雨,无持续风向微风,135 轻度
2016-01-11 周一,8°,6°,阴,北风3-4级,41 优
2016-01-12 周二,8°,5°,阴~多云,北风3-4级,55 良
2016-01-13 周三,8°,3°,阴~多云,无持续风向微风,68 良
2016-01-14 周四,9°,4°,小雨,无持续风向微风,109 轻度
2016-01-15 周五,9°,5°,多云~阴,无持续风向微风,98 良
2016-01-16 周六,12°,4°,小雨~小到中雨,无持续风向微风,38 优
2016-01-17 周日,10°,4°,阴~多云,北风3-4级,92 良
2016-01-18 周一,11°,3°,晴,无持续风向微风,230 重度
2016-01-19 周二,10°,3°,多云,无持续风向微风,125 轻度
2016-01-20 周三,7°,3°,小雨~小到中雨,北风3-4级,108 轻度
2016-01-21 周四,2°,0°,雨夹雪~大雪,北风3-4级,39 优
2016-01-22 周五,1°,-2°,大雪~小雪,北风4-5级,38 优
2016-01-23 周六,1°,-4°,多云,北风4-5级,56 良
2016-01-24 周日,0°,-4°,晴,北风3-4级,69 良
2016-01-25 周一,4°,-4°,晴,无持续风向微风,101 轻度
2016-01-26 周二,6°,3°,多云~小雨,无持续风向微风,79 良
2016-01-27 周三,6°,4°,小雨,无持续风向微风,59 良
2016-01-28 周四,8°,5°,中雨,无持续风向微风,59 良
2016-01-29 周五,7°,5°,阴,无持续风向微风,53 良
2016-01-30 周六,7°,5°,阴,无持续风向微风,49 优
2016-01-31 周日,6°,2°,小到中雨~小雨,北风3-4级,62 良
2016-02-01 周一,4°,0°,阴~多云,北风3-4级,93 良
2016-02-02 周二,6°,0°,多云~晴,北风3-4级,113 轻度
2016-02-03 周三,9°,2°,晴~阴,无持续风向微风,93 良
2016-02-04 周四,9°,1°,阴~多云,无持续风向微风,91 良
2016-02-05 周五,11°,1°,晴,无持续风向微风,105 轻度
2016-02-06 周六,11°,3°,晴,无持续风向微风,92 良
2016-02-07 周日,13°,3°,晴,无持续风向微风,131 轻度
2016-02-08 周一,17°,5°,晴,无持续风向微风,249 重度
2016-02-09 周二,19°,5°,晴,无持续风向微风,101 轻度
2016-02-10 周三,22°,9°,晴~多云,无持续风向微风,93 良
2016-02-11 周四,23°,15°,多云~阵雨,无持续风向微风,62 良
2016-02-12 周五,25°,17°,雷阵雨~中雨,无持续风向微风,66 良
2016-02-13 周六,14°,5°,小雨,无持续风向微风,47 优
2016-02-14 周日,5°,2°,雨夹雪~阴,北风4-5级,39 优
2016-02-15 周一,9°,2°,晴,无持续风向微风,51 良
2016-02-16 周二,11°,2°,晴,无持续风向微风,44 优
2016-02-17 周三,13°,3°,晴,无持续风向微风,64 良
2016-02-18 周四,16°,8°,多云~小雨,无持续风向微风,78 良
2016-02-19 周五,16°,7°,多云,无持续风向微风,75 良
2016-02-20 周六,15°,7°,晴~多云,无持续风向微风,114 轻度
2016-02-21 周日,12°,5°,阴~小雨,无持续风向微风,124 轻度
2016-02-22 周一,9°,6°,小雨,无持续风向微风,64 良
2016-02-23 周二,9°,6°,小雨,北风3-4级,77 良
2016-02-24 周三,12°,5°,阴~多云,无持续风向微风,112 轻度
2016-02-25 周四,13°,6°,多云~阵雨,无持续风向微风,140 轻度
2016-02-26 周五,15°,6°,多云~晴,无持续风向微风,81 良
2016-02-27 周六,18°,7°,晴,无持续风向微风,61 良
2016-02-28 周日,20°,8°,晴,无持续风向微风,80 良
